Day,Start,End,Event,Room,GM,GM2,# of People,Description
1.Wednesday,9:00 AM,,Board Game Breakfast with Tom Vasel,Caribbean V-VII,Tom Vasel,,250,Tom will have a show running for people that don't want to wait in line.
1.Wednesday,10:00 AM,,OPEN GAMING,ANTUGUA 2-4,,,,
1.Wednesday,10:00 AM,,CONVENTION OPENS,EVERYWHERE,,,,
1.Wednesday,10:00 AM,,LIBRARY,HIBISCUS ROOM,,,,
1.Wednesday,10:00 AM,,OPEN GAMING,SIERRA BALLROOM,,,,
1.Wednesday,11:00 AM,1:00 PM,Abyss Demo,Bonaire 6,Michael Huckins,,4,
1.Wednesday,12:00 PM,1:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
1.Wednesday,12:00 PM,2:00 PM,Smash Up Demo,Bonaire 3,Jim Price,,8,
1.Wednesday,12:00 PM,6:00 PM,EXHIBITOR HALL OPENS,CARIBBEAN I-IV,Molly,,,
1.Wednesday,12:00 PM,12:30 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,12:00 PM,12:30 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,12:30 PM,1:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
1.Wednesday,12:45 PM,1:15 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,12:45 PM,1:15 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,1:00 PM,2:00 PM,Designer Panel,Caribbean V-VII,Geoff Engelstein,,,Q&A with Game Designers
1.Wednesday,1:00 PM,2:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
1.Wednesday,1:00 PM,3:00 PM,Beyond the Edge,Boca III-IV,Ken Shannon,,4-16,"4 Games Possible, Let Designer Ken Shannon teach you his newest game Beyond the Edge"
1.Wednesday,1:00 PM,5:00 PM,Arkwright Demo,Bonaire 6,Michael Huckins,,4,
1.Wednesday,1:00 PM,5:00 PM,Dice Tower 500 (21 Drivers),Bonaire 7,Richard Launius,,21,Play with Designer Richard Launius in the Dice Tower 500 Nascar Race
1.Wednesday,1:00 PM,,Rising Sun,Bonaire 8,Wilbert Kies,,5,
1.Wednesday,1:30 PM,2:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
1.Wednesday,1:30 PM,2:00 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,1:30 PM,2:00 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,2:00 PM,3:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
1.Wednesday,2:00 PM,4:00 PM,Clans of Caledonia Demo,Bonaire 2,Jean Blakley,,8,Demo of Clans of Caledonia
1.Wednesday,2:00 PM,4:00 PM,Smash Up Demo,Bonaire 3,Jim Price,,8,
1.Wednesday,2:00 PM,3:00 PM,Media Panel,Caribbean V-VII,Patrick Siebert,,300,Join Host Patrick Siebert
1.Wednesday,2:15 PM,2:45 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,2:15 PM,2:45 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,2:30 PM,3:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
1.Wednesday,3:00 PM,4:00 PM,Eric Lang's Directors Chair,Caribbean V-VII,Eric Lang,,250,Eric Discusses CMON and their upcoming releases
1.Wednesday,3:00 PM,4:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
1.Wednesday,3:00 PM,,Dice Tower Games Check-In and Orientation,Boca Foyer,Live Wire Lab,,,"Join the Fun and join the Dice Tower Con Games, root or compete for 1 of 6 houses.  Think the Olympics of Board Games, only more serious :)"
1.Wednesday,3:00 PM,3:30 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,3:00 PM,3:30 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,3:30 PM,4:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
1.Wednesday,3:45 PM,4:15 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,3:45 PM,4:15 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,4:00 PM,5:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
1.Wednesday,4:00 PM,5:00 PM,Game Show Match Game,Caribbean V-VII,Patrick Siebert,,300,Join Host Patrick Siebert
1.Wednesday,4:30 PM,5:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
1.Wednesday,4:30 PM,5:00 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,4:30 PM,5:00 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,5:00 PM,6:00 PM,King Of Tokyo Daily Championship,Caribbean Ballroom I-IV,IELLO,,6,You must have played in an earlier game to play in this final
1.Wednesday,5:00 PM,6:00 PM,Imhotep Demo,Bonaire 3,Jim Price,,8,
1.Wednesday,5:00 PM,5:15 PM,Announcements,EVERYWHERE,Patrick,Jeff,,
1.Wednesday,5:15 PM,5:45 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,5:15 PM,5:45 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,6:00 PM,7:00 PM,Imhotep Demo,Bonaire 3,Jim Price,,8,
1.Wednesday,6:00 PM,8:00 PM,Dice Tower Games Session 1,Boca Foyer,Live Wire Lab,,,The DTC Games Round 1
1.Wednesday,6:00 PM,6:30 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,6:00 PM,6:30 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,6:45 PM,7:15 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,6:45 PM,7:15 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,7:00 PM,8:00 PM,Imhotep Demo,Bonaire 3,Jim Price,,8,
1.Wednesday,7:00 PM,10:00 PM,Gaia project: Demo,Bonaire 6,Michael Huckins,,4,
1.Wednesday,7:00 PM,9:00 PM,Magical Athlete,Caribbean V-VII,Tom Vasel,,250,Tom will run a game of Magical Athlete
1.Wednesday,7:30 PM,8:00 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,7:30 PM,8:00 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,8:00 PM,9:00 PM,Imhotep Demo,Bonaire 3,Jim Price,,8,
1.Wednesday,8:00 PM,10:00 PM,Dice Tower Games Session 2,Boca Foyer,Live Wire Lab,,,The DTC Games Round 2
1.Wednesday,8:00 PM,11:00 PM,Arkham Horror Special w/Designer,Bonaire 7,Richard Launius,,6,Play with Designer Richard Launius  
1.Wednesday,9:00 PM,11:00 PM,Opening Night game Show,Caribbean V-VII,Tom Vasel,,250,"Join Tom and Eric, with some other Dice Tower personalities for a great Game Show."
1.Wednesday,10:00 PM,8:00 AM,WEREWOLF,"BOCA 1-4, 7-8 & BOCA FOYER",Brian McKay,,,"Join the All night Werewolf games, run by Eat Villagers.  Please remember that alcohol is not allowed in the Gaming area."
2.Thursday,12:00 AM,,OPEN GAMING,ANTUGUA 2-4,,,,
2.Thursday,12:00 AM,,LIBRARY,HIBISCUS ROOM,,,,
2.Thursday,12:00 AM,,OPEN GAMING,SIERRA BALLROOM,,,,
2.Thursday,9:00 AM,11:00 AM,Troyes: Demo,Bonaire 6,Michael Huckins,,4,
2.Thursday,9:00 AM,1:00 PM,Pathfinder RPG,Curacao III & IV,Shane Murphy,Dominick Trascritti,,"Come play the Pathfinder RPG, sign up online for sessions here https://warhorn.net/events/dicetower-2018"
2.Thursday,9:00 AM,10:00 AM,Faith in Gaming Panel,Caribbean V-VII,Jeff Grant,,,Q&A about Faith and Gaming
2.Thursday,10:00 AM,12:00 PM,Secret CMON Game,Caribbean V-VII,Eric Lang,,250,Eric will Demo a Game. Top secret! 
2.Thursday,10:00 AM,12:00 PM,Smash Up Demo,Bonaire 3,Jim Price,,8,
2.Thursday,10:00 AM,12:00 PM,Dice Tower Games Session 3,Boca Foyer,Live Wire Lab,,,The DTC Games Round 3
2.Thursday,10:00 AM,12:00 PM,Pandemic Survival Tournament - ZMAN,Boca I & II,Michael Giugliano,,,Must have pre-signed up
2.Thursday,10:00 AM,11:30 AM,Arkham Horror Card Game Demo,Bonaire 6,Mike Walker,,8,
2.Thursday,10:00 AM,6:00 PM,EXHIBITOR HALL OPENS,CARIBBEAN I-IV,Molly,,,
2.Thursday,10:00 AM,,Scythe,Bonaire 7,Wilbert Kies,,5,
2.Thursday,10:30 AM,11:30 AM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
2.Thursday,11:00 AM,12:00 PM,Tumblin Dice World Championship,Caribbean Foyer,Tom Vasel,,30,
2.Thursday,11:00 AM,12:30 PM,Intelle Tournament,Caribbean room I-IV,Fisher Heaton,,16,Intelle is a 2 player abstract strategy game where players are hackers vying for control of the corporate mainframe. Players guide their opponent's movement with every move they make as they send blocks of code into the various systems of the mainframe. The winner of the sixteen person tournament will win the game. All other players will win a limited edition lenticular promo card
2.Thursday,11:00 AM,12:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO, ,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
2.Thursday,11:00 AM,12:00 PM,Designer vs Designer,Caribbean V-VII,Ignacy,Eric Lang,250,
2.Thursday,11:00 AM,2:30 PM,Future Tense: The ICE Must Flow,Boca VII-VIII,Live Wire Lab,,,MEGA GAME (with Dice Tower Con Games Participants)
2.Thursday,11:00 AM,1:00 PM,ZhanGou: Demo,Bonaire 6,Michael Huckins,,4,
2.Thursday,11:30 AM,12:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
2.Thursday,12:00 PM,1:00 PM,Loopin Louie Pie Square Off,Caribbean Foyer,Tom Vasel,,0,Tom and Steve Bounocore Face Off in Loupin Louie.  The loser gets a pie in the face.
2.Thursday,12:00 PM,1:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO, ,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
2.Thursday,12:00 PM,1:00 PM,Not Alone Demo,Bonaire 3,Jim Price,,7,
2.Thursday,12:00 PM,2:00 PM,Dice Tower Games Session 4,Boca Foyer,Live Wire Lab,,,The DTC Games Round 4
2.Thursday,12:00 PM,1:30 PM,Arkham Horror Card Game Demo,Bonaire 6,Mike Walker,,8,
2.Thursday,12:00 PM,1:00 PM,Betrayal Legacy Sneak Preview and Q&A,Caribbean V-VII,Rob Daviau,,250,Rob Daviau gives a sneak preview of Betrayal Legacy Game
2.Thursday,12:00 PM,12:30 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
2.Thursday,12:00 PM,12:30 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
2.Thursday,12:30 PM,1:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
2.Thursday,12:45 PM,1:15 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
2.Thursday,12:45 PM,1:15 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
2.Thursday,1:00 PM,2:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
2.Thursday,1:00 PM,2:00 PM,Not Alone Demo,Bonaire 3,Jim Price,,7,
2.Thursday,1:00 PM,2:00 PM,Tournament at Avalon,Bonaire 4,Ken Shannon, ,8,Let Designer Ken Shannon teach you Tournament at Avalon
2.Thursday,1:00 PM,2:30 PM,Camel Up Qualifier,Caribbean I-IV,Mike Young,Plan B,,"Try out Camel Up and try to win a spot in the finals, where you will play other contenders, Dice Tower Celebs, and be Live on You Tube."
2.Thursday,1:00 PM,4:00 PM,Defenders of the Realm,Bonaire 7,Richard Launius,,6,Play with Designer Richard Launius  
2.Thursday,1:00 PM,2:00 PM,(Redacted) A Design Journey,Caribbean V-VII,Rob Daviau,Eric Lang,250,Join Eric Land and Rob Daviau as they discuss their personal design styles and journey
2.Thursday,1:00 PM,5:00 PM,Playtest Event,Boca III-IV,Rob Yates,,,"Join Rob Yates and play some games before they are produced, and help make them better"
2.Thursday,1:30 PM,2:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
2.Thursday,1:30 PM,2:00 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
2.Thursday,1:30 PM,2:00 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
2.Thursday,2:00 PM,3:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
2.Thursday,2:00 PM,4:00 PM,Dice Tower Games Session 5,Boca Foyer,Live Wire Lab,,,The DTC Games Round 5
2.Thursday,2:00 PM,5:00 PM,Le Harve: Demo,Bonaire 6,Michael Huckins,,4,
2.Thursday,2:00 PM,3:30 PM,Thunder Stone Quest Demo,Caribbean V-VII,Mike Elliott,,250,Join Designer Mike Elliott while he demos and discusses Thunder STone Quest on the Big Screen
2.Thursday,2:00 PM,3:00 PM,Sea of Plunder,Bonaire 6,Rusty Lumpkin,,8,"Sail the endless seas chasing mysterious treasure islands, gathering goods and dodging pirates! with Designer Rusty Lumpkin"
2.Thursday,2:00 PM,6:00 PM,Pathfinder RPG,Curacao III & IV,Shane Murphy,Dominick Trascritti,,"Come play the Pathfinder RPG, sign up online for sessions here https://warhorn.net/events/dicetower-2018"
2.Thursday,2:00 PM,4:00 PM,Beyond the Edge,Bonaire 8,Ken Shannon,,4-16,"4 Games Possible, Let Designer Ken Shannon teach you his newest game Beyond the Edge and play in part 2 of 3 of this legacy game"
2.Thursday,2:15 PM,2:45 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
2.Thursday,2:15 PM,2:45 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
2.Thursday,2:30 PM,3:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
2.Thursday,2:30 PM,4:00 PM,Camel Up Qualifier,Caribbean I-IV,Mike Young,Plan B,,"Try out Camel Up and try to win a spot in the finals, where you will play other contenders, Dice Tower Celebs, and be Live on You Tube."
2.Thursday,3:00 PM,4:00 PM,Panel - Werewolf,Boca I & II,Eat Villagers,,,Get involved in making a new Werewolf Scenario
2.Thursday,3:00 PM,4:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
