Day,Start,End,Event,Room,GM,GM2,# of People,Description
2.Thursday,3:00 PM,4:00 PM,Sea of Plunder,Bonaire 6,Rusty Lumpkin,,8,"Sail the endless seas chasing mysterious treasure islands, gathering goods and dodging pirates! with Designer Rusty Lumpkin"
2.Thursday,3:00 PM,3:30 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
2.Thursday,3:00 PM,3:30 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
2.Thursday,3:30 PM,4:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
2.Thursday,3:45 PM,4:15 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
2.Thursday,3:45 PM,4:15 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
2.Thursday,4:00 PM,5:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
2.Thursday,4:00 PM,6:00 PM,Dice Tower Games Session 6,Boca Foyer,Live Wire Lab,,,The DTC Games Round 6
2.Thursday,4:00 PM,6:00 PM,Liar's Dice Tournament (36 players),Curacao I & II,Richard Borg,,36,Join Designer Richard Borg as he runs the Liar's Dice Tournament
2.Thursday,4:00 PM,5:00 PM,Legacy Games Panel,Caribbean V-VII,Rob Daviau,,250,Join Rob Daviau in a Legacy Game Panel
2.Thursday,4:30 PM,5:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
2.Thursday,4:30 PM,6:30 PM,Future Tense: The Election,Boca VII-VIII,Live Wire Lab,,,MEGA GAME  
2.Thursday,4:30 PM,5:00 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
2.Thursday,4:30 PM,5:00 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
2.Thursday,5:00 PM,6:00 PM,King Of Tokyo Daily Championship,Caribbean Ballroom I-IV,IELLO,,6,You must have played in an earlier game to play in this final
2.Thursday,5:00 PM,5:15 PM,Announcements,EVERYWHERE,,,, 
2.Thursday,5:15 PM,5:45 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
2.Thursday,5:15 PM,5:45 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
2.Thursday,6:00 PM,8:00 PM,Dice Tower Games Session 7,Boca Foyer,Live Wire Lab,,,The DTC Games Round 7
2.Thursday,6:00 PM,6:30 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
2.Thursday,6:00 PM,6:30 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
2.Thursday,6:45 PM,7:15 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
2.Thursday,6:45 PM,7:15 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
2.Thursday,7:00 PM,8:00 PM,Virtual Flea Market,"Bonaire 2,3,4, & 6,7,8",Mark Mistretta,,,For the Virtual Flea Market
2.Thursday,7:00 PM,8:30 PM,Speed Dating,Boca III-IV,Rob Yates,,15,Must pre-register for one of the 15 spots.
2.Thursday,7:00 PM,11:00 PM,Pathfinder RPG,Curacao III & IV,Shane Murphy,Dominick Trascritti,,"Come play the Pathfinder RPG, sign up online for sessions here https://warhorn.net/events/dicetower-2018"
2.Thursday,7:00 PM,8:00 PM,Pathfinder RPG 1 Hour Intro,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Come and try the Pathfinder RPG for an hour.
2.Thursday,7:30 PM,9:30 PM,Future Tense: The Election,Boca VII-VIII,Live Wire Lab,,,MEGA GAME
2.Thursday,7:30 PM,8:00 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
2.Thursday,7:30 PM,8:00 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
2.Thursday,8:00 PM,11:59 PM,Heavy Cardboard Meetup,Bonaire 6,"Philipp, Millman",,,Heavy Cardboar Meetup
2.Thursday,8:00 PM,11:00 PM,Eldritch Horror Special w/Designer,Bonaire 7,Richard Launius,,6,Play with Designer Richard Launius  
2.Thursday,8:00 PM,9:00 PM,Pathfinder RPG 1 Hour Intro,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Come and try the Pathfinder RPG for an hour.
2.Thursday,9:00 PM,TBD,Two Rooms and a Boom,Bonaire 3 & 4,Mike Davis,,32,
2.Thursday,9:00 PM,10:00 PM,Pathfinder RPG 1 Hour Intro,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Come and try the Pathfinder RPG for an hour.
2.Thursday,9:00 PM,11:00 PM,Dice Tower Awards,Caribbean V-VII,Tom Vasel,,250,The Dice Tower Awards Show for 2018
2.Thursday,10:00 PM,8:00 AM,WEREWOLF,"BOCA 1-4, 7-8 & BOCA FOYER",Brian McKay,,,"Join the All night Werewolf games, run by Eat Villagers.  Please remember that alcohol is not allowed in the Gaming area."
2.Thursday,10:00 PM,11:00 PM,Pathfinder RPG 1 Hour Intro,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Come and try the Pathfinder RPG for an hour.
2.Thursday,11:00 PM,12:00 AM,Pathfinder RPG 1 Hour Intro,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Come and try the Pathfinder RPG for an hour.
3.Friday,12:00 AM,,OPEN GAMING,ANTUGUA 2-4,,,,
3.Friday,12:00 AM,,LIBRARY,HIBISCUS ROOM,,,,
3.Friday,12:00 AM,,OPEN GAMING,SIERRA BALLROOM,,,,
3.Friday,9:00 AM,5:00 PM,Feld Fest,Boca III-IV,Janeen Lea,,,"Come and try to put your name on the Feld Cup by Playing Aquasphere, Notre Dame, Luna, and La Isla.  In the end there can be only one!"
3.Friday,9:00 AM,5:00 PM,FELD FEST,Boca III-IV,Janeen Lea,,,"Come join the Feld Fest for the love of Feld - Notre Dame, Luna, Aquasphere, "
3.Friday,9:00 AM,1:00 PM,Pathfinder RPG,Curacao III & IV,Shane Murphy,Dominick Trascritti,,"Come play the Pathfinder RPG, sign up online for sessions here https://warhorn.net/events/dicetower-2018"
3.Friday,10:00 AM,12:00 PM,Rising Sun Playthrough,Caribbean V-VII,Eric Lang,,250,Eric will demo Rising Sun
3.Friday,10:00 AM,11:00 AM,Not Alone Demo,Bonaire 3,Jim Price,,7,
3.Friday,10:00 AM,12:00 PM,Speakeasy Stocks,Boca VII-VIII,Live Wire Lab,,,MEGA GAME
3.Friday,10:00 AM,12:00 PM,Pandemic Survival Tournament - ZMAN,Boca I & II,Michael Giugliano,,,Must have pre-signed up
3.Friday,10:00 AM,11:30 AM,Arkham Horror Card Game Demo,Bonaire 6,Mike Walker,,8,
3.Friday,10:00 AM,6:00 PM,EXHIBITOR HALL OPENS,CARIBBEAN I-IV,Molly,,,
3.Friday,10:00 AM,1:00 PM,Epic BattleLore (8 Players),Curacao I & II,Richard Borg & Steve Zaccardi,,8,Play with Designer Richard Borg in an Epic battle Lore Game
3.Friday,10:00 AM,11:30 AM,Pitch Car for Kids,CARIBBEAN I-IV,Tom Vasel,,25,
3.Friday,10:30 AM,11:30 AM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
3.Friday,11:00 AM,12:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
3.Friday,11:00 AM,12:00 PM,Not Alone Demo,Bonaire 3,Jim Price,,7,
3.Friday,11:30 AM,12:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
3.Friday,11:30 AM,1:00 PM,Pitch Car for Adults,CARIBBEAN I-IV,Tom Vasel,,25,
3.Friday,12:00 PM,1:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
3.Friday,12:00 PM,1:00 PM,Imhotep Demo,Bonaire 3,Jim Price,,8,
3.Friday,12:00 PM,1:30 PM,Arkham Horror Card Game Demo,Bonaire 6,Mike Walker,,8,
3.Friday,12:00 PM,12:30 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
3.Friday,12:00 PM,12:30 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
3.Friday,12:30 PM,1:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
3.Friday,12:30 PM,2:30 PM,Queensmoot,Boca VII-VIII,Live Wire Lab,,,MEGA GAME
3.Friday,12:45 PM,1:15 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
3.Friday,12:45 PM,1:15 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
3.Friday,1:00 PM,2:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
3.Friday,1:00 PM,2:00 PM,Imhotep Demo,Bonaire 3,Jim Price,,8,
3.Friday,1:00 PM,2:00 PM,Silver River,Bonaire 8,Ken Shannon,,4,"Let Ken Shannon teach you how to play Silver River, a fast 4x game by Robert Burke and Nate Bivins."
3.Friday,1:00 PM,,Museum Tournament,Caribbean I-IV,Luma Games,,,
3.Friday,1:00 PM,2:30 PM,Camel Up Qualifier,Caribbean I-IV,Mike Young,Plan B,,"Try out Camel Up and try to win a spot in the finals, where you will play other contenders, Dice Tower Celebs, and be Live on You Tube."
3.Friday,1:00 PM,4:00 PM,Defenders of the Last Stand,Bonaire 7,Richard Launius,,6,Play with Designer Richard Launius  
3.Friday,1:00 PM,3:00 PM,Fireball Island,Caribbean V-VII,Rob Daviau,,250,Join Rob Daviau in a preview of Fireball Island
3.Friday,1:00 PM,5:00 PM,Playtest Event,Boca I-II,Rob Yates,,,"Join Rob Yates and play some games before they are produced, and help make them better"
3.Friday,1:00 PM,2:00 PM,Pathfinder RPG 1 Hour Intro,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Come and try the Pathfinder RPG for an hour.
3.Friday,1:30 PM,2:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
3.Friday,1:30 PM,4:30 PM,Epic BattleLore (8 Players),Curacao I & II,Richard Borg & Steve Zaccardi,,8,Play with Designer Richard Borg in an Epic battle Lore Game
3.Friday,1:30 PM,2:00 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
3.Friday,1:30 PM,2:00 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
3.Friday,2:00 PM,3:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
3.Friday,2:00 PM,3:00 PM,Sea of Plunder,Bonaire 6,Rusty Lumpkin,,8,"Sail the endless seas chasing mysterious treasure islands, gathering goods and dodging pirates! with Designer Rusty Lumpkin"
3.Friday,2:00 PM,4:00 PM,Beyond the Edge,Bonaire 8,Ken Shannon,,4-16,"4 Games Possible, Let Designer Ken Shannon teach you his newest game Beyond the Edge and continue to the conclusion of the Legacy game"
3.Friday,2:00 PM,3:00 PM,Pathfinder RPG 1 Hour Intro,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Come and try the Pathfinder RPG for an hour.
3.Friday,2:00 PM,6:00 PM,Pathfinder RPG,Curacao III & IV,Shane Murphy,Dominick Trascritti,,"Come play the Pathfinder RPG, sign up online for sessions here https://warhorn.net/events/dicetower-2018"
3.Friday,2:15 PM,2:45 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
3.Friday,2:15 PM,2:45 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
3.Friday,2:30 PM,3:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
3.Friday,2:30 PM,4:00 PM,Camel Up Qualifier,Caribbean I-IV,Mike Young,Plan B,,"Try out Camel Up and try to win a spot in the finals, where you will play other contenders, Dice Tower Celebs, and be Live on You Tube."
3.Friday,3:00 PM,4:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
3.Friday,3:00 PM,4:00 PM,Warhammer 40K Dice Masters,Caribbean V-VII,Mike Elliott,,250,
3.Friday,3:00 PM,4:00 PM,Rob Daviau Meet & Greet,Social Corner,Rob Daviau,Evan Erwin,250,"Meet Rob Daviau, Take Pictures and Get his autograph"
3.Friday,3:00 PM,4:00 PM,Sea of Plunder,Bonaire 6,Rusty Lumpkin,,8,"Sail the endless seas chasing mysterious treasure islands, gathering goods and dodging pirates! with Designer Rusty Lumpkin"
3.Friday,3:00 PM,4:00 PM,Pathfinder RPG 1 Hour Intro,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Come and try the Pathfinder RPG for an hour.
3.Friday,3:00 PM,3:30 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
3.Friday,3:00 PM,3:30 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
3.Friday,3:30 PM,4:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
3.Friday,3:30 PM,5:30 PM,Dice Tower Games Session 8,Boca Foyer,Live Wire Lab,,,The DTC Games Round 8
3.Friday,3:30 PM,5:00 PM,Queensmoot,Boca VII-VIII,Live Wire Lab,,,MEGA GAME
3.Friday,3:45 PM,4:15 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
3.Friday,3:45 PM,4:15 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
3.Friday,4:00 PM,5:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
3.Friday,4:00 PM,5:00 PM,Fightin Words,Caribbean V-VII,Mike Elliott,,250,
3.Friday,4:00 PM,5:00 PM,Pathfinder RPG 1 Hour Intro,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Come and try the Pathfinder RPG for an hour.
3.Friday,4:30 PM,5:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
3.Friday,4:30 PM,5:00 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
3.Friday,4:30 PM,5:00 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
3.Friday,5:00 PM,6:00 PM,King Of Tokyo Daily Championship,Caribbean Ballroom I-IV,IELLO,,6,You must have played in an earlier game to play in this final
3.Friday,5:00 PM,6:30 PM,Queensmoot,Boca VII-VIII,Live Wire Lab,,,MEGA GAME
3.Friday,5:00 PM,5:15 PM,Announcements,EVERYWHERE,Patrick,,,
3.Friday,5:00 PM,6:00 PM,Pathfinder RPG 1 Hour Intro,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Come and try the Pathfinder RPG for an hour.
3.Friday,5:15 PM,5:45 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
3.Friday,5:15 PM,5:45 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
3.Friday,5:30 PM,7:30 PM,Dice Tower Games Session 9,Boca Foyer,Live Wire Lab,,,The DTC Games Round 9
3.Friday,6:00 PM,6:30 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
3.Friday,6:00 PM,6:30 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
3.Friday,6:00 PM,10:00 PM,After Hours: History Edition,Bonaire 5,,,,"Where do you go to play after the game rooms close at 6? Get historical after hours, featuring Z-Man Games’ History of the World! Other games include 7 Wonders, Ticket to Ride: Germany, Catan [ ], Civilization: A New Dawn, Memoir ’44, Timeline: American History, and Legendary Inventors."
