Day,Start,End,Event,Room,GM,GM2,Event Type,# of People,Description
3.Friday,11:00 AM,12:00 PM,Designing Games as a team,Caribbean Ballroom V-VII,Designers,,Panel,,"Join Daryl Andrews, Erica Bouyouris, Michael Giugliano, and Adrian Adamescu"
3.Friday,11:00 AM,11:30 AM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,11:30 AM,12:00 PM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,11:30 AM,1:00 PM,Pitch Car for Adults,Caribbean Foyer,Tom Vasel,,,25,
3.Friday,12:00 PM,1:00 PM,Game Designer Panel,Caribbean Ballroom V-VII,Designers,,Panel,,"Join Daryl Andrews, Erica Bouyouris, Michael Giugliano, and Adrian Adamescu"
3.Friday,12:00 PM,12:30 PM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,12:00 PM,2pm,Arkham Horror Card Game,Bonaire 4,Mike Walker,,Demo,,Come try out the card version of Arkham Horror
3.Friday,12:00 PM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
3.Friday,12:30 PM,1:00 PM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,1:00 PM,1:30 PM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,1:00 PM,2:00 PM,Mike Elliott shows off Conflix,Caribbean Ballroom V-VII,Mike Elliott,,Panel,,"See the new game Conflix, which release July 10th"
3.Friday,1:00 PM,2:00 PM,Imperial Settlers Roll & Write ,Bonaire 5,Portal Games,,Event,24,learn-to-play event with prizes for the top scorers
3.Friday,1:00 PM,4:00 PM,DIcetower 500 Race,Bonaire 3,Richard Launius,,Event,24,"Join up to 24 other drivers in the annual superspeedway race where each player uses their Driver Deck to maneuver their race car on the track to make lap count, pass, draft, pull away, bump draft, and occasionally crash in the annual event that has proven to be a racing fan (and gamer) favorite each year at Dicetower. Players will have to work together to get to the front, time their pit stop or try to make it to the finish on fumes, but regardless of racers cooperating on the final laps it is every driver fighting for position. The game is for experienced and rookie drivers as the rules will be covered by the host Richard Launius in the driver’s meeting at the start of the race.  "
3.Friday,1:30 PM,2:00 PM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,2:00 PM,4:00 PM,Adventure Tactics: Domianne's Tower,Bonaire 4,Cassie Friedman,,,5,Let Cassie run you through this fun new Dungeon Crawl
3.Friday,2:00 PM,3:00 PM,Homebrewers,Bonaire 4,Greater Than Games,,,5,
3.Friday,2:00 PM,3:00 PM,Legends of Sleepy Hollow,Bonaire 4,Greater Than Games,,,4,
3.Friday,2:00 PM,6:00 PM,Settlers of Catan Tournament,Boca I & II,Joseph Rose,Steve Hines,,,
3.Friday,2:00 PM,3:00 PM,3D Printing for Tabletop Gaming,Caribbean Ballroom V-VII,Patrick-Michel Dagenais,,Panel,,Come learn more about using your 3d printer with our hobby.
3.Friday,2:00 PM,5:00 PM,Zombicide,Bonaire 3,Paul Miller,,Event,8,"Come play Zombicide, Black Plague/Green Hordes with terrain"
3.Friday,2:00 PM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
3.Friday,2:00:00 PM,4:00:00 PM,Waters of Nereus,Bonaire 6,Steve Finn,,Event,4,"Sail the seas of Nereus in this worker-placement, set collection, fantasy seafaring game from Dr. Finn's Games."
3.Friday,2:00 PM,6:00 PM,Pathfinder Society Quest: Honor's Echo,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,2:00 PM,6:00 PM,Pathfinder Society Scenario #10-12: Breath of the Dragonskull,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,2:00 PM,6:00 PM,Starfinder Society Scenario #1-25: The Beacon Code Dilemma,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,3:00 PM,4:00 PM,Homebrewers,Bonaire 4,Greater Than Games,,,5,
3.Friday,3:00 PM,4:00 PM,Legends of Sleepy Hollow,Bonaire 4,Greater Than Games,,,4,
3.Friday,3:00 PM,7:00 PM,"Memoir '44 Tournament With Preprinted Scenario Maps",Curacao I & II,Richard Borg,Neal Ekengren,,16,
3.Friday,4:00 PM,5:00 PM,Homebrewers,Bonaire 4,Greater Than Games,,,5,
3.Friday,4:00 PM,5:00 PM,Legends of Sleepy Hollow,Bonaire 4,Greater Than Games,,,4,
3.Friday,4:00:00 PM,5:00:00 PM,Cosmic Run: Regeneration,Bonaire 6,Steve Finn,,Event,4,"Race through space in this dice and board game from, Dr. Finn's Games."
3.Friday,5:00 PM,5:15 PM,Announcements,EVERYWHERE, ,,,,
3.Friday,6:00 PM,8:30 PM,Safari Turbo,Bonaire 2,Omar Tarancon,,,,"4 Tables, 3 players per table"
3.Friday,7:00 PM,9:00 PM,JVMF Auction,Caribbean Ballroom V-VII,Allen Enyart,,Special Event,250,Come and bid to raise money for the Jack Vasel Memorial Fund
3.Friday,7:00 PM,10:00 PM,Baseball Highlights 2045,Bonaire 5,Phillip Millman,,Tournament,32,Try to win the championship
3.Friday,7:00 PM,11:00 PM,Pathfinder Society Scenario #10-16: What the Helms Hide,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,7:00 PM,11:00 PM,Pathfinder Society Scenario #10-21: Slaver's End,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,7:00 PM,11:00 PM,Starfinder Society Quest: Into the Unknown,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,7:00 PM,11:00 PM,Starfinder Society Scenario #1-24: Siege of Enlightenment,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,8:00 PM,10:00 PM,Liars Dice Tournament,Curacao I & II,Richard Borg,,,50,
3.Friday,9:00 PM,,Werewolf Custom Game Signup,,Eat Villagers,,,,Signup for Werewolf
3.Friday,9:00 PM,TBD,Two Rooms and a Boom,Bonaire 3 & 4,Mike Davis,,,32,
3.Friday,9:00 PM,11:00 PM,Pod Cast - Tom Top 5,Caribbean Ballroom V-VII,Tom Vasel,,,250,The Dice Tower Top 5 Podcast Show
3.Friday,10:00 PM,,Christmas in July Werewolf,Boca 6,Eat Villagers,,,,Come Play Werewolf
3.Friday,10:00 PM,,Orlando Featuring Caleb Bennett,Boca 5 ,Eat Villagers,,,,Come Play Werewolf
3.Friday,10:00 PM,8:00 AM,WEREWOLF,BOCA 5-8 & BOCA FOYER,Eat Villagers,,,,"Join the All night Werewolf games, run by Eat Villagers. Please remember that alcohol is not allowed in the Gaming area."
3.Friday,12 12 PM,2:00 PM,"RED ALERT-Space Fleet Warfare Demo Event",Curacao I & II,Richard Borg,Jose Mata,Demo, ,
4.Saturday,12:00 AM,11:59 PM,OPEN GAMING,ANTIGUA 2-4,,,,,
4.Saturday,12:00 AM,,LIBRARY,HIBISCUS ROOM,,,,,
4.Saturday,12:00 AM,,OPEN GAMING,SIERRA BALLROOM,,,,,
4.Saturday,8:00 AM,10:00 AM,Flea Market,Caribbean Ballroom V-VII,Allen Enyart,,,,Come join the Flea Market for a special deal
4.Saturday,9:00 AM,11:00 AM,Pandemic Survival Tournament - DTC,Boca I-II,Michael Giugliano,Joseph Rose,,16,
4.Saturday,9:00 AM,2:00 PM,Mansions of Madness,Bonaire 3,Richard Launius,,Event,5,Join an adventure from the Horrific Journeys as you travel out of Arkham and into new mysteries. The adventure is for 5 players taking on the roles of adventurous investigators thrust into a new threat of the mythos. It will take everything from arcane rituals down to the very suitcases the investigators carry to defeat the ancient threats. New and experienced players are welcome to join Richard Launius for this game.
4.Saturday,9:00 AM,1:00 PM,Pathfinder Society Scenario #8-16: House of Harmonious,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
4.Saturday,9:00 AM,1:00 PM,Pathfinder Society Scenario #5–04: The Stolen Heir,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
4.Saturday,9:00 AM,1:00 PM,Starfinder Society Scenario #1-16: Dreaming of the Future,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
4.Saturday,9:00 AM,6:00 PM,Pathfinder Module: Plunder & Peril #3: Black Coral Cove,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
4.Saturday,9:00 AM,1:00 PM,"D&D 5th Ed ""Trouble in Wursthaven"" ",Curacao III & IV,Scott Parent,,,Event,"For 3 to 6 4th level characters. Bring your own characters/dice/pencils or I will can supply.  For those who bring their own, standard Array, plus 1 Common and 1 Uncommon Magic Items plus up to 500gp of Mundane items"
4.Saturday,10:00 AM,6:00 PM,EXHIBITOR HALL OPENS,CARIBBEAN I-IV, ,,,,
4.Saturday,10:00 AM,5:00 PM,Silver,Caribbean I-IV,Bezier Games,,Demo,4,Come try this new game by Bezier
4.Saturday,10:00 AM,10:30 AM,Medium,Bonaire 4,Greater Than Games,,,8,
4.Saturday,10:00 AM,2:00 PM,RPG: Urban Infestation,Bonaire 4,Greater Than Games,,,5,
4.Saturday,10:00 AM,5:00 PM,Playtesting Lab,Boca III-IV,Matt Holden,,,,"Join Indie Game Alliance and play some games before they are produced, and help make them better"
4.Saturday,10:00 AM,5:00 PM,new Teotihuacan expansion,Caribbean Ballroom I-IV,Meeple Source,,Demo,,"Teotihuacan: Late Preclassic Period, available to demo all day, Also: Sierra West, same times. People can choose between getting a quick preview, or to actually sit down and play a short demo.  "
4.Saturday,10:00 AM,10:30 AM,Kids Snowman Dice Tournament 1,Curacao 5-8,Mike Elliott,,Tournament,,"Kids, Come play the new game Snowman Dice and try for the prizes"
4.Saturday,10:00 AM,12:00 PM,Arkham Horror Card Game,Bonaire 4,Mike Walker,,Demo,,Come try out the card version of Arkham Horror
4.Saturday,10:00 AM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
4.Saturday,10:00 AM,12:00 PM,Celestia Tournament,Caribbean I-IV,Quick Simple Fun,,Tournament,16,Come win the new Expansion to Celestia
4.Saturday,10:00 AM,5:00 PM,Muse Awakenings Demo,Caribbean I-IV,Quick Simple Fun,,Demo,16,Come and try this fun game from Quick Simple Fun Games
4.Saturday,10:00 AM,5:00 PM,For the Love of Cats,Caribbean I-IV,Quick Simple Fun,,Demo,6,Come check out the new Kickstarter from Quick Simple Fun
4.Saturday,10:00 AM,5:00 PM,Freight Cars,Caribbean I-IV,Quick Simple Fun,,Demo,6,Come check out the new Kickstarter from Quick Simple Fun
4.Saturday,10:00:00 AM,12:00:00 PM,Kingdom of Saxony,Boca III-IV,Steve Finn,,Playtesting Lab,4,Take control of Saxony in this new area control game from Dr. Finn's Games
4.Saturday,10:00 AM,5:00 PM,"Demos of Imperial Settlers, Monolith Arena, Tides of Time/Tides of Madness, and Alien Artifacts",Bonaire 1,Portal Games,,Demo,,Demos all con long
4.Saturday,10:30 AM,11:00 AM,Medium,Bonaire 4,Greater Than Games,,,8,
4.Saturday,10:30 AM,11:00 AM,Kids Snowman Dice Tournament 2,Curacao 5-8,Mike Elliott,,Tournament,,"Kids, Come play the new game Snowman Dice and try for the prizes"
4.Saturday,11:00 AM,11:30 AM,Medium,Bonaire 4,Greater Than Games,,,8,
4.Saturday,11:00 AM,1212 PM,RED ALERT-Space Fleet Warfare,Curacao I & II,Mike Panko,Jose Mata,,Demo,Showcase Event Table
4.Saturday,11:30 AM,12:00 PM,Medium,Bonaire 4,Greater Than Games,,,8,
4.Saturday,12:00 PM,12:30 PM,Medium,Bonaire 4,Greater Than Games,,,8,
4.Saturday,12:00 PM,2:00 PM,Pandemic Survival Tournament - DTC,Boca I-II,Michael Giugliano,Joseph Rose,,16,
4.Saturday,12:00 PM,2pm,Arkham Horror Card Game,Bonaire 4,Mike Walker,,Demo,,Come try out the card version of Arkham Horror
4.Saturday,12:00 PM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
4.Saturday,12:30 PM,1:00 PM,Medium,Bonaire 4,Greater Than Games,,,8,
4.Saturday,1:00 PM,1:30 PM,Medium,Bonaire 4,Greater Than Games,,,8,
4.Saturday,1:00 PM,3:00 PM,"Memoir '44 Overlord Operation Market Garden",Curacao I & II,Matthew Fedel,,,8,
4.Saturday,1:00 PM,3:00 PM,RED ALERT-Space Fleet Warfare,Curacao I & II,Mike Panko,Jose Mata,,8,Showcase Event Table
4.Saturday,1:00 PM,2:00 PM,Imperial Settlers Roll & Write ,Bonaire 5,Portal Games,,Event,24,learn-to-play event with prizes for the top scorers
4.Saturday,1:30 PM,2:00 PM,Medium,Bonaire 4,Greater Than Games,,,8,
4.Saturday,2:00 PM,3:00 PM,Homebrewers,Bonaire 4,Greater Than Games,,,5,
4.Saturday,2:00 PM,3:00 PM,Legends of Sleepy Hollow,Bonaire 4,Greater Than Games,,,4,
4.Saturday,2:00 PM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
4.Saturday,2:00 PM,6:00 PM,Pathfinder Society Scenario #10-16: What the Helms Hide,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
4.Saturday,2:00 PM,6:00 PM,Pathfinder Society Scenario #8-22: Wrath of the Fleshwarped Queen,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
4.Saturday,2:00 PM,6:00 PM,Starfinder Society Scenario #1-25: The Beacon Code Dilemma,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
4.Saturday,3:00 PM,4:00 PM,Homebrewers,Bonaire 4,Greater Than Games,,,5,
4.Saturday,3:00 PM,4:00 PM,Legends of Sleepy Hollow,Bonaire 4,Greater Than Games,,,4,
4.Saturday,4:00 PM,5:00 PM,Homebrewers,Bonaire 4,Greater Than Games,,,5,
4.Saturday,4:00 PM,5:00 PM,Legends of Sleepy Hollow,Bonaire 4,Greater Than Games,,,4,
4.Saturday,4:00 PM,5:00 PM,Virtual Flea Market,Caribbean Ballroom V-VII,,,,,This is your last chance to do your exchanges
4.Saturday,5:00 PM,5:15 PM,Announcements,EVERYWHERE, ,,,,
4.Saturday,5:00 PM,8:00 PM,"EPIC RED ALERT Space Fleet Warfare Double-wide Battlefield",Curacao I & II,"Mike Panko Jose Mata","Jim Riley Steve Malacek",,14,Showcase Event Table
4.Saturday,6:00 PM,8:30 PM,Safari Turbo,Bonaire 2,Omar Tarancon,,,,"4 Tables, 3 players per table"
4.Saturday,7:00 PM,11:00 PM,Pathfinder Society Quest: Honor's Echo,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
4.Saturday,7:00 PM,11:00 PM,Pathfinder Society Scenario #10-19: Corpses in Kalsgard,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
4.Saturday,7:00 PM,11:00 PM,Starfinder Society Quest: Into the Unknown,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
4.Saturday,7:00 PM,11:00 PM,Starfinder Society Scenario #1-33: Data Breach,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
4.Saturday,8:00 PM,10:00 PM,This Game is Broken Show,Caribbean Ballroom V-VII,This Game is Broken,,Event,250,Come have fun with This Game is Broken
4.Saturday,8:00 PM,11:00 PM,Arkham Horror Classic,Bonaire 3,Richard Launius,,Event,8,"Travel back in time to 1987 to play an upgraded art version of the original Arkham Horror. The game mechanics are simpler, but the adventure and threat remains the same. Designer Richard Launius will lead 8 investigators to cooperatively face the mythos threat released on Arkham. No experienced required. Note: If we exceed the number of players since this game may finish in 2 hours, a second game may be started at 10 PM for those willing to be in Arkham until the witching hour."
4.Saturday,9:00 PM,10:00 PM,Signups for Custom Werewolf Games,Boca Foyer,Eat Villagers,,,,Signup for Saturdays Games
4.Saturday,10:00 PM,,Custom Werewolf from Panel on Thursday,Boca 6,Eat Villagers,,Event,,Come play Werewolf
4.Saturday,10:00 PM,,Harry Potter Werewolf - Fantastic Beasts,Boca 8,Eat Villagers,,Event,,Come play Werewolf
4.Saturday,10:00 PM,,Atlanta Featuring Patrick Hill,Boca 5 ,Eat Villagers,,Event,,Come play Werewolf
4.Saturday,10:00 PM,8:00 AM,WEREWOLF,BOCA 5-8 & BOCA FOYER,Eat Villagers,,Event,,"Join the All night Werewolf games, run by Eat Villagers. Please remember that alcohol is not allowed in the Gaming area."
5.Sunday,12:00 AM,6:00 PM,OPEN GAMING,ANTIGUA 2-4,,,,,
5.Sunday,12:00 AM,2:00 PM,LIBRARY,HIBISCUS ROOM,,,,,
5.Sunday,12:00 AM,6:00 PM,OPEN GAMING,SIERRA BALLROOM,,,,,
5.Sunday,9:00 AM,1:00 PM,"Pathfinder Society Scenario #9-16: Fallen Family, Broken Name",Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
5.Sunday,9:00 AM,1:00 PM,Pathfinder Society Scenario #10-21: Slaver's End,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
5.Sunday,9:00 AM,1:00 PM,Starfinder Society Scenario #1-36: Enter the Ashen Asteroid,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
5.Sunday,9:00 AM,1:00 PM,"D&D 5th Ed ""Trouble in Wursthaven"" ",Curacao III & IV,Scott Parent,,,Event,"For 3 to 6 4th level characters. Bring your own characters/dice/pencils or I will can supply.  For those who bring their own, standard Array, plus 1 Common and 1 Uncommon Magic Items plus up to 500gp of Mundane items"
5.Sunday,10:00 AM,3:00 PM,EXHIBITOR HALL OPENS,CARIBBEAN I-IV, ,,,,
5.Sunday,10:00 AM,5:00 PM,Silver,Caribbean I-IV,Bezier Games,,Demo,4,Come try this new game by Bezier
5.Sunday,10:00 AM,3:00 PM,new Teotihuacan expansion,Caribbean Ballroom I-IV,Meeple Source,,Demo,,"Teotihuacan: Late Preclassic Period, available to demo all day, Also: Sierra West, same times. People can choose between getting a quick preview, or to actually sit down and play a short demo.  "
5.Sunday,10:00 AM,12:00 PM,Arkham Horror Card Game,Bonaire 4,Mike Walker,,Demo,,Come try out the card version of Arkham Horror
5.Sunday,10:00 AM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
5.Sunday,10:00 AM,12:00 PM,Celestia Tournament,Caribbean I-IV,Quick Simple Fun,,Tournament,16,Come win the new Expansion to Celestia
5.Sunday,10:00 AM,3:00 PM,Muse Awakenings Demo,Caribbean I-IV,Quick Simple Fun,,Demo,16,Come and try this fun game from Quick Simple Fun Games
5.Sunday,10:00 AM,3:00 PM,For the Love of Cats,Caribbean I-IV,Quick Simple Fun,,Demo,6,Come check out the new Kickstarter from Quick Simple Fun
5.Sunday,10:00 AM,3:00 PM,Freight Cars,Caribbean I-IV,Quick Simple Fun,,Demo,6,Come check out the new Kickstarter from Quick Simple Fun
5.Sunday,10:00 AM,11:00 AM,CHURCH SERVICE,Caribbean Ballroom V-VII,Tom Vasel,,,250,Tom Vasel Ministers
5.Sunday,10:00 AM,3:00 PM,"Demos of Imperial Settlers, Monolith Arena, Tides of Time/Tides of Madness, and Alien Artifacts",Bonaire 1,Portal Games,,Demo,,Demos all con long
5.Sunday,12:00 PM,1:00 PM,Christian Gaming,Caribbean Ballroom V-VII,Jeff Grant,,Panel,,An open discussion of Christian Gaming
5.Sunday,12:00 PM,2pm,Arkham Horror Card Game,Bonaire 4,Mike Walker,,Demo,,Come try out the card version of Arkham Horror
5.Sunday,12:00 PM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
5.Sunday,12:00 PM,,Last Library Checkouts,,,,,,Last chance to get a game from the Library is 12 PM
5.Sunday,2:00 PM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
5.Sunday,2:00 PM,,Library Gathering of Games,,,,,,All Games must be returned by 2 PM on Sunday to the Library
5.Sunday,2:00 PM,6:00 PM,Pathfinder Society Scenario #10-18: The Daughters' Due,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
5.Sunday,2:00 PM,6:00 PM,Starfinder Society Scenario #1-33: Data Breach,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
5.Sunday,3:00 PM,,Library Packing of Games,,,,,,Begin Packing and wrapping the games.
5.Sunday,6:00 PM,,CONVENTION IS OVER,EVERYWHERE,,,,,"You Dont have to go home, but you cant stay here"
